# 通譯輸入法 測資
#
# 一份檔案，用 `## 標籤 ｜ 主測：… ｜ 來源：…` 分節。計分器共用
# `src/bin/common/testdata.rs` 讀這份，**不再各自寫死檔名清單**——
# 從前十支計分器各有一份清單而且子集互不相同，加一個檔要改十處、
# 漏一處那支就默默少量一組。
#
# ## 格式
#
# 資料列三欄，**用 TAB 分隔**（用空白分欄的行會被靜默跳過）：
#
#   文字期望 <TAB> 按鍵期望 <TAB> 按鍵序列
#
#   第一欄 文字期望：各段用 `|` 分隔，`_` = 分隔符空白自成一段
#   第二欄 按鍵期望：**同樣的切法標在按鍵層級**，`|` 就是切點位置
#   第三欄 按鍵序列：使用者實際按的鍵
#
#   第二欄是計分基準——它不需要任何推導，逐字元比對即可。
#   按鍵序列裡的空白可能是「一聲」也可能是「分隔符」，正是要測的東西：
#     `check| |u vu84`   第一個空白是分隔符（前後都切），第二個是「一」的一聲
#
# ## 四種標記，沒有第五種（見 期望基準審核.md §0）
#
#   照寫 `A|B`   正確：段數與每段文字都要一樣
#   `~` 開頭     寬容-段：只比接起來的文字，切成幾段不管
#   ` || `       寬容-列舉：命中任一個就算對（前後**都要有空白**）
#   重產         測資本身寫錯，用 mkkeys 重產
#
# ## 規矩
#
# - **按鍵序列不准手敲**，一律用 mkkeys 產生並當場驗證。舊的 100 組
#   測資就是手敲注音毀掉的（多音字判讀錯），錯的期望會把計分器帶偏
# - **不從詞庫抽樣**——抽到的必然都是引擎查得到的東西，測不出真實使用
#   的樣子。真實輸入會有詞庫沒收的組合、專有名詞、口語說法
# - **刻意保留失敗案例**：測資反映真實需求，不是反映目前的能力。把做
#   不到的排除在外數字會好看，但下次改動時無從得知有沒有修好
# - 加完新測資先跑 `check_testdata`，**要先是 0** 才算數
#
# ## 節標題的「來源」
#
#   人工          人寫的句子，不能重產
#   使用者實測    實際打字時回報的案例，不能重產
#   生成          工具產的，可以整節重產
#
# 保留集（holdout）另外標記：它的規矩是**寫的時候不看引擎輸出**，
# 產測資時不准拿引擎篩選，否則它就失去「證明泛化」的意義。


## cutpoint ｜ 主測：切點 ｜ 來源：人工
# 切點測資：三語所有排列組合
#
# 15 種組合（中/英/日 的單語重複、兩語、三語排列）× 20 句 = 300 句
# 每種組合 10 句有分隔符空白（標成獨立的 `_` 段）、10 句完全黏著。
#
# 標記規則（依「通用語言輸入法 篩選規則」canvas）：
#
# 注音按鍵依「注音按鍵合法表及對照表.md」（使用者核對過）轉換。
#
#
#
已經|_|完成	u3ru/ | |j06t/6	u3ru/  j06t/6
merge|_|分支	merge| |zp 5 	merge zp 5 
整理|_|notes	5/3xu3| |notes	5/3xu3 notes
export|_|名單	export| |au/620 	export au/620 
確認|_|budget	fm,4bp4| |budget	fm,4bp4 budget
track|_|進度	track| |rup42j4	track rup42j4
安排|_|interview	0 q96| |interview	0 q96 interview
archive|_|舊資料	archive| |ru.4y xul4	archive ru.4y xul4
通知|_|team	wj/ 5 | |team	wj/ 5  team
draft|_|合約	draft| |ck6m, 	draft ck6m, 
補上|_|comment	1j3g;4| |comment	1j3g;4 comment
今晚|_|deploy	rup j03| |deploy	rup j03 deploy
## otaku ｜ 主測：切點 ｜ 來源：人工
# 混合語言測資（第二組）：ACG／日本旅遊話題，中日英三語混合
#
# 【重要】同第一組，這份資料是人工寫的，**不從詞庫抽樣**。
#
# 為什麼要有這一組：第一組全是「中文＋英文」，日文引擎完全沒被測到。
# 但本專案的核心賣點正是三語言同時處理，只測兩語言等於漏掉三分之一。
#
# 這一組的日文是**羅馬字輸入**（anime → アニメ），不是日文漢字。
# 引擎要能在同一句裡分辨「這段是日文羅馬字」與「這段是英文」——
# 兩者都是純字母、沒有聲調鍵，是最難分的一組。
#
# 注音按鍵同樣用 `mkkeys` 產生並驗證過。
#
#
#
# ---- 中文 + 日文羅馬字 ----
這部|_|anime|_|好看 || 這部|_|アニメ|_|好看	5k41j4| |anime| |cl3d04	5k41j4 anime cl3d04
最新|_|一集	yjo4vup | |u4ru6	yjo4vup  u4ru6
日本|_|旅行	b41p3| |xm3vu/6	b41p3 xm3vu/6
東京|_|好玩	2j/ ru/ | |cl3j06	2j/ ru/  cl3j06
推薦|_|這個|_|遊戲	wjo ru04| |5k4ek7| |u.6vu4	wjo ru04 5k4ek7 u.6vu4
聲優|_|很好	g/ u. | |cp3cl3	g/ u.  cp3cl3
主題|_|歌曲|_|好聽	5j3wu6| |ek fm3| |cl3wu/ 	5j3wu6 ek fm3 cl3wu/ 
原作|_|小說	m06yji4| |vul3gji 	m06yji4 vul3gji 
改編動畫	e931u0 2j/4cj84	e931u0 2j/4cj84
# ---- 日文羅馬字（純日文段，不該被誤判成英文）----
sushi || 寿司	sushi	sushi
ramen	ramen	ramen
sakura || 桜	sakura	sakura
tsunami || 津波	tsunami	tsunami
karaoke || カラオケ	karaoke	karaoke
konnichiwa	konnichiwa	konnichiwa
arigatou || ありがとう	arigatou	arigatou
# ---- 英文（不該被誤判成日文）----
computer	computer	computer
password	password	password
download	download	download
# ---- 三語混一句 ----
~明天|_|去|_|東京|_|看|_|anime || ~明天|_|去|_|東京|_|看|_|アニメ	au/6wu0 | |fm4| |2j/ ru/ | |d04| |anime	au/6wu0  fm4 2j/ ru/  d04 anime
~這個|_|game|_|的|_|音樂	5k4ek7| |game| |2k7| |up m,4	5k4ek7 game 2k7 up m,4
~日本|_|的|_|ramen|_|好吃	b41p3| |2k7| |ramen| |cl3t 	b41p3 2k7 ramen cl3t 
# ---- 純注音（不該被誤切）----
動畫漫畫遊戲	2j/4cj84a04cj84u.6vu4	2j/4cj84a04cj84u.6vu4
~日本東京旅行	b41p32j/ ru/ xm3vu/6	b41p32j/ ru/ xm3vu/6


#
# ---- 2026-09-07 補 26 筆：ACG 場景，中日英三語 ----
# 14/26 過。三語混合本來就是最難的一類，數字誠實記著。
漫画|_|很好看	mannga| |cp3cl3d0 	mannga cp3cl3d0 
声優|_|是誰	seiyuu| |g4go6	seiyuu g4go6
這部|_|アニメ	5o41j4| |anime	5o41j4 anime
主題歌|_|超好聽	shudaika| |tl cl3wu/ 	shudaika tl cl3wu/ 
去|_|秋葉原	fm4| |akihabara	fm4 akihabara
同人誌|_|買了三本	douzinnsi| |a93xk7n0 1p3	douzinnsi a93xk7n0 1p3
等|_|新刊	2/3| |sinnkann	2/3 sinnkann
限定版|_|賣完了	gennteibann| |a94j06xk7	gennteibann a94j06xk7
排|_|整理券	q96| |seirikenn	q96 seirikenn
握手会|_|要抽選	akushukai| |ul t. vm03	akushukai ul t. vm03
看|_|配信	d0 | |haisinn	d0  haisinn
字幕|_|出來了	zimaku| |tj x94xk7	zimaku tj x94xk7
追|_|連載	5jo | |rennsai	5jo  rennsai
単行本|_|下個月	tannkouhonn| |vu84ek4m,4	tannkouhonn vu84ek4m,4
玩|_|乙女ゲーム	j04| |otomege-mu	j04 otomege-mu
実況|_|好笑	zikkyou| |cl3vul4	zikkyou cl3vul4
發售|_|記念	z8 g.4| |kinenn	z8 g.4 kinenn
特典|_|很讚	tokutenn| |cp3y04	tokutenn cp3y04
去|_|聖地巡礼	fm4| |seitijunnrei	fm4 seitijunnrei
応援|_|上映	ouenn| |g;4u/4	ouenn g;4u/4
抽到|_|推し	t. 2l4| |osi	t. 2l4 osi
円盤|_|預購了	ennbann| |m4e.4xk7	ennbann m4e.4xk7
找|_|資料集	5l3| |siryoushuu	5l3 siryoushuu
設定|_|很詳細	settei| |cp3vu;6vu4	settei cp3vu;6vu4
買|_|痛車|_|貼紙	a93| |itasha| |wu, 53	a93 itasha wu, 53
同人|_|shop	douzinn| |shop	douzinn shop
## trilingual ｜ 主測：合法性 ｜ 來源：使用者實測＋人工
# 混合語言測資（第四組）：真實的三語混雜句
#
# 使用者實測時貼的十個句子，中英日交錯出現在同一句裡。
# 這組不測「切得對不對」（那是 mixed_* 那三組的職責），測的是
# **每一段都要有合法解讀**——依核心原則，引擎可以猜錯排序，但不能
# 給不出東西、也不能吐出不合法的組合。
#
#
#
# 句1：今天的 meeting 真的很 boring
今天|_|meeting|_|真的	rup wu0 | |meeting| |5p 2k7	rup wu0  meeting 5p 2k7
boring	boring	boring
# 句2：supermarket 買了牛奶
supermarket	supermarket	supermarket
牛奶	su.6s93	su.6s93
# 句3：project 的 deadline 是明天
project|_|deadline	project| |deadline	project deadline
明天	au/6wu0 	au/6wu0 
# 句4：餐廳的 food 真的很 amazing
餐廳|_|food	h0 wu/ | |food	h0 wu/  food
amazing	amazing	amazing
# 句5：日文詞（ずっと / どうしよう / 頑張って）
zutto || ずっと	zutto	zutto
doushiyou || どうしよう	doushiyou	doushiyou
gannbatte || 頑張って	gannbatte	gannbatte
# 句6：itinerary / hotel / flight
itinerary	itinerary	itinerary
hotel|_|flight	hotel| |flight	hotel flight
# 句7：天氣很好 + 日文 散歩
天氣	wu0 fu4	wu0 fu4
sannpo || 散歩	sannpo	sannpo
# 句8：design / improve
design|_|improve	design| |improve	design improve
# 句9：期末考 + 複習
期末考	fu6ai4dl3	fu6ai4dl3
# 句10：中文 + switch
中文|_|switch	5j/ jp6| |switch	5j/ jp6 switch
# ---- 標點符號 ----
# 標點跟注音是**同一個按鍵的兩種身分**（`,`=ㄝ、`.`=ㄡ），
# 全形/半形看前一段是什麼語言。日文逗號是讀點「、」不是「，」。
# 句11：中文 + 中文全形逗號
你好|，	su3cl3|,	su3cl3,
# 句12：英文 + 半形逗號
hello|,	hello|,	hello,
# 句13：日文 + 讀點
頑張って|、	gannbatte|,	gannbatte,
# 句14：中文 + 句號
你好|。	su3cl3|.	su3cl3.
# 句15：英文 + 半形句號
hello|.	hello|.	hello.
# 句16：中英混合，逗號**前面是英文**→ 半形
你好|hello|，	su3cl3|hello|,	su3cl3hello,
# 句17：連續標點要沿用同一種寫法（不能半全形混用）
hello|.|.|.	hello|.|.|.	hello...
# 句18：中文連續句號
你好|… || 你好|。|。|。	su3cl3|.|.|.	su3cl3...
# 句19：跨標點斷詞——hi 在沒標點時會跟後面黏成 hirup
hi|,|今天	hi|,|rup wu0 	hi,rup wu0 
# 句20：同理 go，標點天然就是邊界
go|,|好	go|,|cl3	go,cl3
# 句21：email（@ 沒有任何引擎能消化，要原樣輸出）
a|@|b|.|com	a|@|b|.|com	a@b.com
# 句22：中文 + 未知符號
你好|@	su3cl3|@	su3cl3@


#
# ---- 2026-09-07 補 20 筆：工作場景的三語交錯 ----
今天|_|standup|_|遅刻	rup wu0 | |standup| |tikoku	rup wu0  standup tikoku
sprint|_|結束|_|お疲れ	sprint| |ru,6gj4| |otukare	sprint ru,6gj4 otukare
資料|_|review|_|完成	siryou| |review| |j06t/6	siryou review j06t/6
release|_|予定|_|延後	release| |yotei| |u06c.4	release yotei u06c.4
会議|_|改到|_|friday	kaigi| |e932l4| |friday	kaigi e932l4 friday
先|_|merge|_|確認	vu0 | |merge| |kakuninn	vu0  merge kakuninn
test|_|環境|_|壞了	test| |kannkyou| |cj94xk7	test kannkyou cj94xk7
午後|_|demo|_|準備	gogo| |demo| |5jp31o4	gogo demo 5jp31o4
記得|_|push|_|今日中	ru42k6| |push| |kyoujuu	ru42k6 push kyoujuu
server|_|再起動|_|一下	server| |saikidou| |u vu84	server saikidou u vu84
新機能|_|上線|_|today	sinnkinou| |g;4vu04| |today	sinnkinou g;4vu04 today
幫忙|_|check|_|設定	1; a;6| |check| |settei	1; a;6 check settei
config|_|変更|_|好了	config| |hennkou| |cl3xk7	config hennkou cl3xk7
締切|_|是|_|monday	simeki| |g4| |monday	simeki g4 monday
那份|_|report|_|提出	s84zp4| |report| |teishutu	s84zp4 report teishutu
client|_|連絡|_|了嗎	client| |rennraku| |xk7a8 	client rennraku xk7a8 
予算|_|approve|_|通過	yosann| |approve| |wj/ eji4	yosann approve wj/ eji4
剛剛|_|deploy|_|成功	e; e; | |deploy| |seikou	e; e;  deploy seikou
log|_|確認|_|沒問題	log| |kakuninn| |ao6jp4wu6	log kakuninn ao6jp4wu6
明天|_|review|_|資料	au/6wu0 | |review| |siryou	au/6wu0  review siryou
## holdout ｜ 主測：泛化 ｜ 來源：人工，保留集（寫時不看引擎）
# 混合語言測資（第三組）：保留驗證集（hold-out set）
#
# 【這一組的用途跟前兩組不同】
#
# 前兩組是「開發集」——我看著它們的失敗案例一路調規則，所以它們
# 最後 100% 是必然的，**那個數字不能拿來證明規則有效**（等於拿考題
# 當練習題，就是先前評分標準犯過的循環論證）。
#
# 這一組是**規則全部調完之後才寫的**，寫的時候不看引擎輸出，只憑
# 「真實使用者會這樣打」來造句。它的分數才反映規則對沒見過的輸入
# 有沒有效。
#
# 刻意包含前兩組沒有的情境：
#   - 英文夾在句子中間（不是開頭或結尾）
#   - 連續兩個英文詞
#   - 大寫英文
#   - 含數字的段落
#
# 注音按鍵一樣用 `mkkeys` 產生並驗證過。
# ---- 英文在句子中間 ----
資料|_|send|_|你	y xul4| |send| |su3	y xul4 send su3
明天記得|bring|_|傘	au/6wu0 ru42k6|bring| |n03	au/6wu0 ru42k6bring n03
影片|see|_|沒有	u/3qu04|see| |ao6u.3	u/3qu04see ao6u.3
帳號|_|forget|密碼	5;4cl4| |forget|au4a83	5;4cl4 forgetau4a83
# ---- 連續兩個英文詞 ----
先|_|copy|_|paste	vu0 | |copy| |paste	vu0  copy paste
用|_|git|_|push	m/4| |git| |push	m/4 git push
開|_|new|_|tab	d9 | |new| |tab	d9  new tab
# ---- 大寫英文 ----
用|API|串接	m/4|API|tj04ru, 	m/4APItj04ru, 
看|README	d04|README	d04README
# ---- 含數字 ----
# 原本有「下午 3 點」「第 3 版」，但這兩筆**測資本身是錯的**：
下午|3|點	vu84j3|3|2u03	vu84j332u03
第|3|_|版	2u4|3| |103	2u43 103
# ---- 英文緊接注音----
ok|走走	ok|y.3y.3	oky.3y.3
no|問題	no|jp4wu6	nojp4wu6
go|出去	go|tj fm4	gotj fm4
# ---- 純英文（不該被切）----
notebook	notebook	notebook
javascript	javascript	javascript
background	background	background
performance	performance	performance
# ---- 純注音（不該被切）----
網路有點慢	j;3xj4u.32u03a04	j;3xj4u.32u03a04
手機沒電了	g.3ru ao62u04xk7	g.3ru ao62u04xk7
電腦當機了	2u04sl32;4ru xk7	2u04sl32;4ru xk7
~咖啡好喝	d8 zo cl3ck 	d8 zo cl3ck 
# ---- 純日文羅馬字（不該被切）----
oyasumi || お休み	oyasumi	oyasumi
itadakimasu || いただきます	itadakimasu	itadakimasu
omoshiroi || 面白い	omoshiroi	omoshiroi


#
# ---- 2026-09-07 補 75 筆 ----
# **全部收下，一筆都沒有篩選**——保留集的規矩是寫的時候不看引擎輸出，
# 用 mkkeys 的 --tsv 篩掉打不出來的就等於偷看，那會讓這節失去意義。
# 造句時只憑「真實使用者會這樣打」，寫完直接產鍵、直接收進來。
剛剛|_|client|_|打來	e; e; | |client| |283x96	e; e;  client 283x96
vpn|_|連不上	vpn| |xu061j6g;4	vpn xu061j6g;4
麻煩|_|forward|_|給我	a86z06| |forward| |eo3ji3	a86z06 forward eo3ji3
電車|_|誤點|了	dennsha| |j42u03|xk7	dennsha j42u03xk7
api|_|回傳|錯誤	api| |cjo65j04|hji4j4	api cjo65j04hji4j4
週報|_|template|_|在哪	5. 1l4| |template| |y94s83	5. 1l4 template y94s83
excel|_|打不開	excel| |2831j4d9 	excel 2831j4d9 
這台|_|printer|_|壞了	5o4w96| |printer| |cj94xk7	5o4w96 printer cj94xk7
定期|_|要|續約	teiki| |ul |vm4m, 	teiki ul vm4m, 
zoom|_|連結|_|過期	zoom| |xu06ru,6| |eji4fu6	zoom xu06ru,6 eji4fu6
幫我|_|forward|_|資料	1; ji3| |forward| |siryou	1; ji3 forward siryou
wifi|_|很慢	wifi| |cp3a04	wifi cp3a04
那個|_|folder|_|找不到	s84ek7| |folder| |5l31j62l4	s84ek7 folder 5l31j62l4
切符|_|買好了	kippu| |a93cl3xk7	kippu a93cl3xk7
token|_|要更新	token| |ul e/ vup 	token ul e/ vup 
昨天|_|backup|_|失敗	yji6wu0 | |backup| |g 194	yji6wu0  backup g 194
cache|_|清一下	cache| |fu/ u vu84	cache fu/ u vu84
記得|_|logout	ru42k6| |logout	ru42k6 logout
予約|_|取消|了	yoyaku| |fm3vul |xk7	yoyaku fm3vul xk7
branch|_|合併完成	branch| |ck61u/4j06t/6	branch ck61u/4j06t/6
今天|_|standup|_|取消	rup wu0 | |standup| |fm3vul 	rup wu0  standup fm3vul 
docker|_|起不來	docker| |fu31j4x96	docker fu31j4x96
那份|_|pdf|_|太大	s84zp4| |pdf| |w94284	s84zp4 pdf w94284
書類|_|交出去了	shorui| |rul tj fm4xk7	shorui rul tj fm4xk7
build|_|掛掉了	build| |ej842ul4xk7	build ej842ul4xk7
密碼|_|reset|_|一下	au4a83| |reset| |u vu84	au4a83 reset u vu84
port|_|被|佔用	port| |1o4|504m/4	port 1o4504m/4
這個|_|endpoint|_|沒回應	5k4ek7| |endpoint| |ai4cjo6u/ 	5k4ek7 endpoint ai4cjo6u/ 
郵便|_|寄到了	yuubinn| |ru42l4xk7	yuubinn ru42l4xk7
webhook|_|沒觸發	webhook| |ai4tj4z8 	webhook ai4tj4z8 
剩下|_|test|_|還沒跑	g/4vu84| |test| |c96ai4ql3	g/4vu84 test c96ai4ql3
proxy|_|設定|好了	proxy| |gk42u/4|cl3xk7	proxy gk42u/4cl3xk7
那個|_|script|_|要改	s84ek7| |script| |ul e93	s84ek7 script ul e93
請求書|_|寄過去	seikyuusho| |ru4eji4fm4	seikyuusho ru4eji4fm4
queue|_|塞住了	queue| |n9 5j4xk7	queue n9 5j4xk7
記得|_|commit|_|訊息	ru42k6| |commit| |vmp4vu6	ru42k6 commit vmp4vu6
staging|_|環境|_|好了	staging| |cj06ru/4| |cl3xk7	staging cj06ru/4 cl3xk7
這個|_|package|_|太舊	5k4ek7| |package| |w94ru.4	5k4ek7 package w94ru.4
担当|_|換人|了	tanntou| |cj04bp6|xk7	tanntou cj04bp6xk7
memory|_|不太夠	memory| |1j4w94e.4	memory 1j4w94e.4
請|_|review|_|一下	fu/3| |review| |u vu84	fu/3 review u vu84
https|_|憑證|_|過期	https| |qu/65/4| |eji4fu6	https qu/65/4 eji4fu6
今晚|_|release	rup j03| |release	rup j03 release
面接|_|安排|好了	mennsetu| |0 q96|cl3xk7	mennsetu 0 q96cl3xk7
log|_|太多了	log| |w942ji xk7	log w942ji xk7
那個|_|link|_|失效	s84ek7| |link| |g vul4	s84ek7 link g vul4
mobile|_|版本|_|有問題	mobile| |1031p3| |u.3jp4wu6	mobile 1031p3 u.3jp4wu6
幫忙|_|debug|_|一下	1; a;6| |debug| |u vu84	1; a;6 debug u vu84
報告書|_|寫完了	houkokusho| |vu,3j06xk7	houkokusho vu,3j06xk7
database|_|備份|好了	database| |1o4zp4|cl3xk7	database 1o4zp4cl3xk7
那個|_|feature|_|先|關掉	s84ek7| |feature| |vu0 |ej0 2ul4	s84ek7 feature vu0 ej0 2ul4
cronjob|_|沒跑	cronjob| |ai4ql3	cronjob ai4ql3
這個|_|query|_|很慢	5k4ek7| |query| |cp3a04	5k4ek7 query cp3a04
見積|_|出來了	mitumo| |tj x94xk7	mitumo tj x94xk7
redis|_|重啟一下	redis| |tj/6fu3u vu84	redis tj/6fu3u vu84
麻煩|_|approve	a86z06| |approve	a86z06 approve
sso|_|登入失敗	sso| |2/ bj4g 194	sso 2/ bj4g 194
那台|_|server|_|重開	s84w96| |server| |5j/4d9 	s84w96 server 5j/4d9 
契約|_|延長一年	keiyaku| |u06t;6u su06	keiyaku u06t;6u su06
ssl|_|要更新	ssl| |ul e/ vup 	ssl ul e/ vup 
今天|_|oncall|_|是誰	rup wu0 | |oncall| |g4go6	rup wu0  oncall g4go6
alert|_|一直響	alert| |u 56vu;3	alert u 56vu;3
這個|_|metric|_|不對	5k4ek7| |metric| |1j62jo4	5k4ek7 metric 1j62jo4
出張|_|下週	shucchou| |vu845. 	shucchou vu845. 
dashboard|_|掛了	dashboard| |ej84xk7	dashboard ej84xk7
那個|_|job|_|失敗	s84ek7| |job| |g 194	s84ek7 job g 194
pipeline|_|過了	pipeline| |eji4xk7	pipeline eji4xk7
幫我|_|invite|_|他	1; ji3| |invite| |w8 	1; ji3 invite w8 
社内|_|公告|_|出了	shanai| |ej/ el4| |tj xk7	shanai ej/ el4 tj xk7
license|_|到期	license| |2l4fu6	license 2l4fu6
這份|_|doc|_|要更新	5o4zp4| |doc| |ul e/ vup 	5o4zp4 doc ul e/ vup 
sandbox|_|可以用了	sandbox| |dk3u3m/4xk7	sandbox dk3u3m/4xk7
休憩|_|十分鐘	kyuukei| |g6zp 5j/ 	kyuukei g6zp 5j/ 
runbook|_|在哪	runbook| |y94s83	runbook y94s83
那個|_|release|_|延期	s84ek7| |release| |u06fu6	s84ek7 release u06fu6
## ja_en ｜ 主測：切點 ｜ 來源：使用者實測＋人工
# 混合語言測資（第五組）：日文緊接英文，中間沒有空白
#
# 使用者實測時提出的案例。這組的共同結構是**日文詞直接黏著英文詞**，
# 中間沒有任何分隔線索——不像中文有聲調鍵、英文詞之間有空白。
#
# 這是目前已知最難的一類，多數案例現在是**過不了的**。
# 測資保留失敗案例是刻意的：測資反映真實需求，不是反映目前的能力。
# 把做不到的案例排除在外，數字會好看，但下次改動時無從得知有沒有
# 修好、或有沒有弄得更糟。
#
# 為什麼難：日文引擎對整串永遠給得出「純假名兜底」的答案
# （`seitannlive` → `せいたんぃヴェ`），那條路徑只有一段、不必付
# 跨語言分段懲罰；而正解 `生誕|live` 要付一次懲罰。當日文詞本身
# 信心度不高時（生誕 0.364），懲罰會蓋過證據。
#
# 曾嘗試「日文接英文時減輕分段懲罰」，實測修好 2 個、弄壞 1 個，
# 而弄壞的是 `hi|今天` → `昼|p |天`——使用者打的鍵消失了，
# 那是比排序更嚴重的等級。詳見開發文件 §4.43。
#
#
#
# 日文詞 + 英文詞，無分隔
生誕|live	seitann|live	seitannlive
明日|meeting	ashita|meeting	ashitameeting
今日|test	kyou|test	kyoutest
一緒に|lunch	issyoni|lunch	issyonilunch
寿司|buffet	sushi|buffet	sushibuffet
# 對照組：這些現在是對的，不能被弄壞
debug	debug	debug
javascript	javascript	javascript
localhost	localhost	localhost
hi|今天	hi|rup wu0 	hirup wu0 

#
# ---- 2026-09-07 補 41 筆：同型的「日文詞黏英文詞」 ----
# 原本只有 9 筆。這批 39/41 直接就過——比檔頭寫的「多數過不了」好很多，
# 是後來的改動修好的（分區、假名碎片、bigram）。留著誠實的數字。
# 沒過的兩筆（写真app → 者shinapp）正是難的那類：日文詞信心度不高時，
# 純假名兜底那條路不必付跨語言分段懲罰，會蓋過正解。

会議|room	kaigi|room	kaigiroom
資料|folder	siryou|folder	siryoufolder
予定|table	yotei|table	yoteitable
電話|call	dennwa|call	dennwacall
写真|app	shasinn|app	shasinnapp
音楽|player	onngaku|player	onngakuplayer
時間|limit	zikann|limit	zikannlimit
仕事|mode	sigoto|mode	sigotomode
友達|list	tomodati|list	tomodatilist
学校|site	gakkou|site	gakkousite
先生|page	sennsei|page	sennseipage
名前|field	namae|field	namaefield
場所|map	basho|map	bashomap
番号|input	banngou|input	banngouinput
住所|form	juusho|form	juushoform
料理|blog	ryouri|blog	ryouriblog
旅行|plan	ryokou|plan	ryokouplan
切符|code	kippu|code	kippucode
地図|view	tizu|view	tizuview
天気|report	tennki|report	tennkireport
新聞|feed	sinnbunn|feed	sinnbunnfeed
雑誌|cover	zassi|cover	zassicover
映画|trailer	eiga|trailer	eigatrailer
野球|game	yakyuu|game	yakyuugame
練習|log	rennshuu|log	rennshuulog
試験|score	sikenn|score	sikennscore
宿題|sheet	shukudai|sheet	shukudaisheet
辞書|lookup	zisho|lookup	zisholookup
単語|card	tanngo|card	tanngocard
文法|check	bunnpou|check	bunnpoucheck
発音|guide	hatuonn|guide	hatuonnguide
漢字|quiz	kannzi|quiz	kannziquiz
翻訳|tool	honnyaku|tool	honnyakutool
質問|box	situmonn|box	situmonnbox
返事|mail	hennzi|mail	hennzimail
相談|desk	soudann|desk	soudanndesk
契約|file	keiyaku|file	keiyakufile
会社|profile	kaisha|profile	kaishaprofile
社員|badge	shainn|badge	shainnbadge
給料|slip	kyuuryou|slip	kyuuryouslip
休暇|request	kyuuka|request	kyuukarequest
## japanese_verbs ｜ 主測：切點 ｜ 來源：使用者實測＋人工
# 混合語言測資（第五組）：日文動詞活用
#
# 使用者提供的十個中英日混雜句，取其中的日文段落。刻意挑難的文法：
# 使役受身、受身進行形、てもらう、なければ+受身+てしまう、
# わけにはいかない——但全都是日常會用到的範圍，不是文語或方言。
#
# 這組的職責在新架構下改變了。
#
# 舊架構有個 conjugation.rs 專門展開活用形，這組是為了驗證它而做的
# ——mozc 詞庫只收動詞原形（買う），變化形（買って、買われた）查不到。
# 新架構（phase12-rework）沒有那個模組，也不需要：切點引擎的職責是
# **切語言**，不是切詞。同一個語言內部不切，詞與詞的邊界是選詞模組的事。
#
# 跟排序的「相鄰同語言不切」規則一致。它們現在驗的是：
# 長串日文不會被英文或注音搶走。
#
#
#
# 句1：昨晚被老闆叫去加班（使役受身）
上司に残業させられた	joushinizanngyousaserareta	joushinizanngyousaserareta
# 句2：如果早知道會塞車，早點出發就好了（た形+ておけば良かった）
もっと早く出発しておけば	mottohayakushuppatsushiteokeba	mottohayakushuppatsushiteokeba
# 句3：報告反覆被修改（受身+てもらう）
何度も直されても	nanndomonaosaretemo	nanndomonaosaretemo
なかなか満足してもらえない	nakanakamannzokushitemoraenai	nakanakamannzokushitemoraenai
# 句4：結果等了一小時（使役受身+羽目になる）
一時間も待たされる	ichijikannmomatasareru	ichijikannmomatasareru
羽目になった	hameninatta	hameninatta
# 句5：請大家吃飯（てあげる）
みんなに奢ってあげる	minnnaniogotteageru	minnnaniogotteageru
# 句6：每次都被推工作（受身進行形）
仕事を押し付けられている	shigotowooshitsukerareteiru	shigotowooshitsukerareteiru
# 句7：週五前要交（なければ+受身+てしまう）
金曜日までに提出しなければ	kinnyoubimadeniteishutsushinakereba	kinnyoubimadeniteishutsushinakereba
単位を落とされてしまう	tanniwootosareteshimau	tanniwootosareteshimau
# 句8：不能放棄（わけにはいかない）
諦めるわけにはいかない	akirameruwakenihaikanai	akirameruwakenihaikanai
頑張り続けるしかない	gannbaritsuzukerushikanai	gannbaritsuzukerushikanai
# 句9：如果當初聽了建議（ていれば+はず）
アドバイスを聞いていれば	adobaisuwokiiteireba	adobaisuwokiiteireba
こんなことにはならなかった	konnnakotonihanaranakatta	konnnakotonihanaranakatta
# 句10：被派去出差（使役受身）
会社に出張させられて	kaishanishucchousaserarete	kaishanishucchousaserarete
あまり乗り気じゃない	amarinorikijanai	amarinorikijanai


#
# ---- 2026-09-07 補 34 筆：更多活用形 ----
# mozc 只收辭書形（買う），變化形查不到——所以按鍵是從**假名**產的
# （mkkeys --sent 的 ja: 段，讀音就是它自己）。
# 期望用寬容-列舉列兩種表記：漢字混寫與全假名（審核表 A6）。
# **期望寫正解不寫現況**——引擎現在把「よんでもらった」打成
# 「4でmorあった」，那正是要它紅著的東西。
食べられなかった || たべられなかった	taberarenakatta	taberarenakatta
読んでもらった || よんでもらった	yonndemoratta	yonndemoratta
書かせている || かかせている	kakaseteiru	kakaseteiru
行かなければならない || いかなければならない	ikanakerebanaranai	ikanakerebanaranai
話しかけられた || はなしかけられた	hanasikakerareta	hanasikakerareta
待たされている || またされている	matasareteiru	matasareteiru
調べておいた || しらべておいた	sirabeteoita	sirabeteoita
忘れてしまった || わすれてしまった	wasuretesimatta	wasuretesimatta
見つからなかった || みつからなかった	mitukaranakatta	mitukaranakatta
考えさせられる || かんがえさせられる	kanngaesaserareru	kanngaesaserareru
間に合わなかった || まにあわなかった	maniawanakatta	maniawanakatta
